title,artist,streams
Kiss Me More,Doja Cat,378783736
INDUSTRY BABY,Lil Nas X,373907821
You Proof,Morgan Wallen,373903919
ROCKSTAR,DaBaby,373388283
family ties,Baby Keem,370286379
505,Arctic Monkeys,363625576
Don't,Bryson Tiller,361363335
Money Trees,Kendrick Lamar,360490130
Going Bad,Meek Mill,355305131
Blueberry Faygo,Lil Mosey,355016723
Good Days,SZA,353773323
All I Want for Christmas Is You,Mariah Carey,352877360
Dreams - 2004 Remaster,Fleetwood Mac,351416605
Young Dumb & Broke,Khalid,349563888
Shape of You,Ed Sheeran,348283656
Anti-Hero,Taylor Swift,347226476
Jimmy Cooks,Drake,345288300
Mr. Brightside,The Killers,344039086
Wet Dreamz,J. Cole,341213264
Beautiful Crazy,Luke Combs,338976395
7 rings,Ariana Grande,332694161
Wants and Needs,Drake,331704301
when the party's over,Billie Eilish,331192577
I Like It,Cardi B,329059657
20 Min,Lil Uzi Vert,325230347
Passionfruit,Drake,324740853
Knife Talk,Drake,323647463
Me Porto Bonito,Bad Bunny,322918644
Truth Hurts,Lizzo,321459791
Without Me,Halsey,320826979
1-800-273-8255,Logic,320245347
Meant to Be,Bebe Rexha,318478528
Rockin' Around The Christmas Tree,Brenda Lee,318090906
"thank u, next",Ariana Grande,317987550
Look Alive,BlocBoy JB,316629241
Happier,Marshmello,316018345
Say You Won't Let Go,James Arthur,315132103
ROXANNE,Arizona Zervas,314843202
Mood,24kGoldn,314504480
Nice For What,Drake,313324663
hot girl bummer,blackbear,312411378
deja vu,Olivia Rodrigo,310352761
Eastside,benny blanco,308890413
Murder On My Mind,YNW Melly,307059890
Bandit,Juice WRLD,307048160
Life Is Good,Future,305783118
Rich Flex,Drake,304447780
Cruel Summer,Taylor Swift,300222511
RAPSTAR,Polo G,299723380
Romantic Homicide,d4vd,299300132
Bank Account,21 Savage,298320136
WAP,Cardi B,296670667
WAIT FOR U,Future,296469604
Chasin' You,Morgan Wallen,296271411
HIGHEST IN THE ROOM,Travis Scott,295198938
Ransom,Lil Tecca,292578295
Mo Bamba,Sheck Wes,289673118
Tití Me Preguntó,Bad Bunny,289352830
White Iverson,Post Malone,288882157
In My Feelings,Drake,288633458
MONTERO (Call Me By Your Name),Lil Nas X,288443647
Unforgettable,French Montana,287042302
Nonstop,Drake,286786239
Candy Paint,Post Malone,286217712
Broccoli,DRAM,285106532
Don't Start Now,Dua Lipa,284754771
Heartless,Kanye West,280533507
Come & Go,Juice WRLD,280531842
Wishing Well,Juice WRLD,277821416
BOP,DaBaby,277705797
BUTTERFLY EFFECT,Travis Scott,276763296
For The Night,Pop Smoke,274720487
Fake Love,Drake,274318587
Ella Baila Sola,Eslabon Armado,274155008
Lemonade,Internet Money,273391855
Taste,Tyga,272293130
traitor,Olivia Rodrigo,272010211
Mask Off,Future,271944410
golden hour,JVKE,271272427
Jingle Bell Rock,Bobby Helms,271003980
Suge,DaBaby,270915921
Creepin',Metro Boomin,270410370
Need To Know,Doja Cat,268475081
Money In The Grave (Drake ft. Rick Ross),Drake,265919957
Ballin',Mustard,265117682
Father Stretch My Hands Pt. 1,Kanye West,264592692
Adore You,Harry Styles,264055553
Believer,Imagine Dragons,263375966
I Like Me Better,Lauv,263177728
Tennessee Whiskey,Chris Stapleton,262764370
The Way Life Goes,Lil Uzi Vert,262194612
Bad and Boujee,Migos,262086852
iSpy,KYLE,262041081
Body Like A Back Road,Sam Hunt,261428770
Despacito - Remix,Luis Fonsi,260702344
ZEZE,Kodak Black,260612786
Flowers,Miley Cyrus,260420365
Better,Khalid,259760668
Swervin,A Boogie Wit da Hoodie,258648283
Boy's a liar Pt. 2,PinkPantheress,258540521
Thunder,Imagine Dragons,257758821
Dance Monkey,Tones And I,256274759
Don't Let Me Down,The Chainsmokers,251672744
Pop Out,Polo G,251658876
Space Song,Beach House,250846891
Just Wanna Rock,Lil Uzi Vert,250635962
No Guidance,Chris Brown,250362082
Armed And Dangerous,Juice WRLD,248991383
Havana,Camila Cabello,247086289
Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,246935226
Laugh Now Cry Later,Drake,246389835
More Than My Hometown,Morgan Wallen,246054750
That's What I Like,Bruno Mars,245642565
Needed Me,Rihanna,244179150
Godzilla,Eminem,243971556
I Ain't Worried,OneRepublic,243203983
DNA.,Kendrick Lamar,242841173
Save Your Tears,The Weeknd,242560665
It's the Most Wonderful Time of the Year,Andy Williams,241952040
Martin & Gina,Polo G,241128929
The Spins,Mac Miller,239383162
Bounce Back,Big Sean,239157563
WHATS POPPIN,Jack Harlow,238356467
Everybody Dies In Their Nightmares,XXXTENTACION,238214306
Panda,Desiigner,237739871
Señorita,Shawn Mendes,236868842
Bodak Yellow,Cardi B,235788390
Jumpman,Drake,235129660
Falling,Trevor Daniel,234818302
DÁKITI,Bad Bunny,234636216
Snooze,SZA,233527625
Youngblood,5 Seconds of Summer,233302902
Rock and A Hard Place,Bailey Zimmerman,232767084
Woman,Doja Cat,232370353
Old Town Road - Remix,Lil Nas X,229868299
All The Stars,Kendrick Lamar,229568395
Last Christmas,Wham!,227667934
I'm the One,DJ Khaled,227464533
Hotline Bling,Drake,226915487
Drowning,A Boogie Wit da Hoodie,225834058
Heather,Conan Gray,225794305
Flashing Lights,Kanye West,225730364
changes,XXXTENTACION,225063813
my ex's best friend,Machine Gun Kelly,223702831
Mine,Bazzi,223577524
The Middle,Zedd,223370198
Sorry,Justin Bieber,222779216
Goodbyes (Feat. Young Thug),Post Malone,220243023
Sure Thing,Miguel,219664382
Unholy,Sam Smith,219026522
Look At Me!,XXXTENTACION,218130170
The Less I Know The Better,Tame Impala,215251350
I Like You (A Happier Song),Post Malone,215148393
Karma,Taylor Swift,215100449
Low Life,Future,213234078
WHATS POPPIN,Jack Harlow,212620780
The Kind of Love We Make,Luke Combs,212456395
Before You Go,Lewis Capaldi,211623667
It's Beginning to Look a Lot Like Christmas,Michael Bublé,211116338
Lean Wit Me,Juice WRLD,209772076
EARFQUAKE,"Tyler, The Creator",209549597
a lot,21 Savage,209265237
Pink + White,Frank Ocean,208532765
"Me, Myself & I",G-Eazy,208480098
Ride,Twenty One Pilots,207848346
Stressed Out,Twenty One Pilots,207439306
Call Out My Name,The Weeknd,207267157
Happier Than Ever,Billie Eilish,207031225
Caroline,Aminé,206635412
FEFE,6ix9ine,206222122
Too Good,Drake,205088227
Lavender Haze,Taylor Swift,204814584
Shut up My Moms Calling,Hotel Ugly,204190137
Love Lies,Khalid,204075140
Peaches,Justin Bieber,203494777
The London,Young Thug,203093189
Santa Tell Me,Ariana Grande,203038912
Work,Rihanna,203031687
High Hopes,Panic! At The Disco,201888489
fukumean,Gunna,201593203
Bound 2,Kanye West,201488331
Roses - Imanbek Remix,SAINt JHN,201135462
death bed,Powfu,200371352
Black Beatles,Rae Sremmurd,200178133
everything i wanted,Billie Eilish,199922212
Sucker,Jonas Brothers,199695180
Plug Walk,Rich The Kid,198858962
Love Yourself,Justin Bieber,198773307
The Color Violet,Tory Lanez,198444386
Slippery,Migos,197966789
Leave Me Alone,Flipp Dinero,197450612
Thought You Should Know,Morgan Wallen,197007969
First Class,Jack Harlow,196991596
Tequila,Dan + Shay,196958667
Exchange,Bryson Tiller,196861471
Heathens,Twenty One Pilots,196239216
Streets,Doja Cat,195884808
Trap Queen,Fetty Wap,194792972
Can't Feel My Face,The Weeknd,194406860
Stargirl Interlude,The Weeknd,193650723
Leave The Door Open,Bruno Mars,193586394
I Love You So,The Walters,193182221
Roll In Peace,Kodak Black,192647458
Daddy Issues,The Neighbourhood,192551331
Glimpse of Us,Joji,191938708
Fast Car,Luke Combs,190091057
Wake Up in the Sky,Gucci Mane,189926403
Silence,Marshmello,189144242
Calm Down,Rema,187652104
Girls Like You,Maroon 5,186579571
What Do You Mean?,Justin Bieber,185795808
Late Night Talking,Harry Styles,185090179
Electric Love,BØRNS,185017224
A Holly Jolly Christmas - Single Version,Burl Ives,184941145
cardigan,Taylor Swift,184843213
Let You Down,NF,184436690
Work from Home,Fifth Harmony,184122003
Stick Season,Noah Kahan,183904878
Controlla,Drake,183609837
Freestyle,Lil Baby,183398617
Thinking out Loud,Ed Sheeran,182153495
What You Know Bout Love,Pop Smoke,182024316
Buy Dirt,Jordan Davis,181860109
Noticed,Lil Mosey,181647697
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,181197216
Perfect,Ed Sheeran,180975541
no tears left to cry,Ariana Grande,180563889
Ni**as In Paris,JAY-Z,180406249
Revenge,XXXTENTACION,180392105
No Problem,Chance the Rapper,180053419
Pure Water,Mustard,180042907
Freaks,Surf Curse,179323186
Speechless,Dan + Shay,179301739
Roses,The Chainsmokers,178699372
Talk,Khalid,178662883
When It Rains It Pours,Luke Combs,178646989
No Limit,G-Eazy,178639729
X,21 Savage,178576237
Efecto,Bad Bunny,177650587
Sorry Not Sorry,Demi Lovato,177157747
bury a friend,Billie Eilish,176834584
Tunnel Vision,Kodak Black,176688536
vampire,Olivia Rodrigo,176560179
Sunday Best,Surfaces,176430872
2055,Sleepy Hallow,176244822
"10,000 Hours",Dan + Shay,175930281
Don’t Blame Me,Taylor Swift,175843078
Stir Fry,Migos,175630677
Look Back At It,A Boogie Wit da Hoodie,175483878
Intentions,Justin Bieber,175135180
Go Flex,Post Malone,174710816
Super Gremlin,Kodak Black,174682635
Cold Heart - PNAU Remix,Elton John,174655545
Bad Habits,Ed Sheeran,174488164
Plain Jane,A$AP Ferg,174255086
PICK IT UP,Famous Dex,173990426
Lean On,Major Lazer,173817845
Easy On Me,Adele,173774301
About Damn Time,Lizzo,173459589
New Rules,Dua Lipa,173328947
Shivers,Ed Sheeran,173225595
White Christmas,Bing Crosby,172930844
positions,Ariana Grande,172797966
you broke me first,Tate McRae,172703722
Panini,Lil Nas X,171512571
Way 2 Sexy,Drake,170202629
Thinkin’ Bout Me,Morgan Wallen,169978073
High Fashion,Roddy Ricch,169149991
I Don't Care,Ed Sheeran,168839409
ocean eyes,Billie Eilish,168543006
Walk It Talk It,Migos,168214275
Paint The Town Red,Doja Cat,168176508
Shallow,Lady Gaga,167883840
I'm Good (Blue),David Guetta,167707706
telepatía,Kali Uchis,167397824
Heartless,Diplo,167208044
Everybody Wants To Rule The World,Tears For Fears,166207880
Glock In My Lap,21 Savage,166047588
Say So,Doja Cat,165898476
un x100to,Grupo Frontera,165599074
679,Fetty Wap,165220739
Ghost,Justin Bieber,165169144
Running Up That Hill (A Deal With God),Kate Bush,164350801
Envy Me,Calboy,164149940
Hello,Adele,163937424
Issues,Julia Michaels,163082925
T-Shirt,Migos,162318539
Heartbreak Anniversary,Giveon,162181516
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,161895465
Toosie Slide,Drake,161667752
The Night We Met,Lord Huron,161481323
Stay,Zedd,161032066
Riptide,Vance Joy,160942664
Cold Water,Major Lazer,160700352
La Bebe - Remix,Yng Lvcas,160632865
THATS WHAT I WANT,Lil Nas X,160369392
Sanguine Paradise,Lil Uzi Vert,160244733
Apocalypse,Cigarettes After Sex,159833466
Everlong,Foo Fighters,159703516
Memories,Maroon 5,159686092
Gucci Gang,Lil Pump,159368635
Take Me To Church,Hozier,159271937
Money Longer,Lil Uzi Vert,159142673
Let Me Love You,DJ Snake,158366154
Starving,Hailee Steinfeld,158320524
The Christmas Song (Merry Christmas To You),Nat King Cole,157307504
If The World Was Ending,JP Saxe,156928093
Something Just Like This,The Chainsmokers,156839599
favorite crime,Olivia Rodrigo,156762362
I Get The Bag,Gucci Mane,156184444
Lover,Taylor Swift,155646198
Astronaut In The Ocean,Masked Wolf,155387513
I Wanna Be Yours,Arctic Monkeys,155203219
Saturday Nights,Khalid,154969059
Best Part,H.E.R.,154582091
Chill Bill,Rob $tone,154052440
ORANGE SODA,Baby Keem,153355593
223's,YNW Melly,152984591
Beautiful People,Ed Sheeran,152409919
"break up with your girlfriend, i'm bored",Ariana Grande,152246486
Lovers Rock,TV Girl,152123054
august,Taylor Swift,151749152
7 Summers,Morgan Wallen,151634841
Fair Trade,Drake,151557904
Magnolia,Playboi Carti,151502606
This Is What You Came For,Calvin Harris,150332163
Spin Bout U,Drake,150295059
Clouded,Brent Faiyaz,149017184
34+35,Ariana Grande,148864140
After Party,Don Toliver,148828688
Slide,Calvin Harris,148615807
Righteous,Juice WRLD,148152203
Heading South,Zach Bryan,147991168
THE SCOTTS,THE SCOTTS,147793519
Let It Snow! Let It Snow! Let It Snow!,Frank Sinatra,147518340
WITHOUT YOU,The Kid LAROI,147434939
Too Many Nights,Metro Boomin,147251464
Moonlight,Kali Uchis,147171452
pick up the phone,Young Thug,146950542
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,146405505
Stitches,Shawn Mendes,146222899
Dior,Pop Smoke,145804298
Ain't Shit,Doja Cat,145660715
Calling My Phone,Lil Tjay,145633110
Attention,Charlie Puth,145299789
I Remember Everything,Zach Bryan,145160217
Nowadays,Lil Skies,144878462
You Right,Doja Cat,144688259
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,144670230
Portland,Drake,144664417
YKWIM?,Yot Club,144334815
PUFFIN ON ZOOTIEZ,Future,144220281
Feliz Navidad,José Feliciano,144122101
King's Dead,Jay Rock,144088666
Pure Cocaine,Lil Baby,143866334
Up,Cardi B,143743718
MIA,Bad Bunny,143656931
Here With Me,d4vd,143497302
Let Me Go,Hailee Steinfeld,143350902
I Feel It Coming,The Weeknd,143319177
Trance,Metro Boomin,143216131
Cheap Thrills,Sia,142986096
Love Galore,SZA,142655912
7 Years,Lukas Graham,142277410
"i hate u, i love u",gnash,141690287
Swang,Rae Sremmurd,141632137
Be Alright,Dean Lewis,141016791
Broadway Girls,Lil Durk,140991188
Betrayed,Lil Xan,140250610
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,139730182
Wild Thoughts,DJ Khaled,139558295
Search & Rescue,Drake,139535461
Mistletoe,Justin Bieber,138887351
Dancing With A Stranger,Sam Smith,138760630
Get Into It (Yuh),Doja Cat,138640495
MotorSport,Migos,138467640
La Gaita - We Don't Talk About Bruno,Carolina Gaitán,138398595
Falling,Harry Styles,138072456
You Was Right,Lil Uzi Vert,138001040
Gold,Kiiara,137920503
Star Shopping,Lil Peep,137840270
Forever After All,Luke Combs,137048398
Uptown Funk,Mark Ronson,136885294
July,Noah Cyrus,136568556
Lalala,Y2K,136394278
Faucet Failure,Ski Mask The Slump God,136293354
Where Are Ü Now,Jack Ü,135999812
My House,Flo Rida,135782448
F.N,Lil Tjay,135359031
POPSTAR,DJ Khaled,135192435
Best Friend,Saweetie,135156338
Save Your Tears,The Weeknd,134482363
Side To Side,Ariana Grande,134449731
Yonaguni,Bad Bunny,134261808
Moscow Mule,Bad Bunny,134224366
Midnight Rain,Taylor Swift,133439275
Sand In My Boots,Morgan Wallen,133206530
Strip That Down,Liam Payne,133182143
Underneath the Tree,Kelly Clarkson,132917457
Earned It (Fifty Shades Of Grey),The Weeknd,132827332
Holly Jolly Christmas,Michael Bublé,132806458
Miss The Rage,Trippie Redd,132399703
24K Magic,Bruno Mars,132118188
Old Town Road,Lil Nas X,132031403
PILLOWTALK,ZAYN,131983424
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,131982277
Dynamite,BTS,131917493
It Ain't Me,Kygo,130487216
Ojitos Lindos,Bad Bunny,130354926
VIBEZ,DaBaby,129872425
Losin Control,Russ,129835284
Feel It Still,Portugal. The Man,129571919
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,129400161
Treat You Better,Shawn Mendes,129275991
Work Out,J. Cole,129003240
Heartless,The Weeknd,128899883
Money,Cardi B,128812752
Pepas,Farruko,127795090
YOSEMITE,Travis Scott,127780533
JAPAN,Famous Dex,127676006
Nonsense,Sabrina Carpenter,127447107
Meet Me At Our Spot,THE ANXIETY,126861687
21,Polo G,126417091
Callaita,Bad Bunny,126375154
Taki Taki,DJ Snake,126096694
One Thing At A Time,Morgan Wallen,126095232
Low,SZA,126035034
Daylight,David Kushner,125897590
Tongue Tied,GROUPLOVE,125880696
Party Girl,StaySolidRocky,125662367
LA CANCIÓN,J Balvin,124349605
Baby (Lil Baby feat. DaBaby),Quality Control,124162581
idontwannabeyouanymore,Billie Eilish,123991487
Bohemian Rhapsody - Remastered 2011,Queen,123761624
Camelot,NLE Choppa,123589568
Never Be Like You,Flume,123343026
Woah,Lil Baby,122876453
Shoota,Playboi Carti,122469617
It's A Vibe,2 Chainz,122067552
Legends,Juice WRLD,121077739
Powerglide,Rae Sremmurd,120839941
God is a woman,Ariana Grande,120468984
Sleigh Ride,The Ronettes,120431456
Go Crazy,Chris Brown,120431219
PRC,Peso Pluma,120254066
In the Name of Love,Martin Garrix,120205635
Mood Swings,Pop Smoke,119371547
Paris,The Chainsmokers,119358756
Red Roses,Lil Skies,119331204
See You Again,Wiz Khalifa,119131650
wish you were gay,Billie Eilish,119110503
El Azul,Junior H,118985222
Beggin',Måneskin,118922920
Cake By The Ocean,DNCE,118801783
CUFF IT,Beyoncé,118658045
Shirt,SZA,118284221
Antidote,Travis Scott,118146637
GO,The Kid LAROI,117833168
Until I Found You,Stephen Sanchez,117541047
Take What You Want,Post Malone,117464544
Blue Christmas,Elvis Presley,117074533
Tell Em,Cochise,116861554
Sky Walker,Miguel,116395947
Barbie World,Nicki Minaj,116386995
Dance The Night (From Barbie The Album),Dua Lipa,116218717
Falling Down - Bonus Track,Lil Peep,116066331
Lust,Lil Skies,115693481
I KNOW ?,Travis Scott,115573633
It's Beginning to Look a Lot Like Christmas,Perry Como,115461913
Hate Me,Ellie Goulding,115056947
Are You Bored Yet?,Wallows,114791296
STARGAZING,Travis Scott,114669162
Into You,Ariana Grande,114250630
Lost,Frank Ocean,114159460
Bejeweled,Taylor Swift,113819669
Sky,Playboi Carti,113544303
Walk Em Down,NLE Choppa,113510926
Middle,DJ Snake,113465863
OTW,Khalid,113437143
You Need To Calm Down,Taylor Swift,113303615
Sucker For Pain,Lil Wayne,113258771
What Lovers Do,Maroon 5,113203255
Runnin,21 Savage,113166701
I'm Upset,Drake,112748287
abcdefu,GAYLE,112733991
Me and Your Mama,Childish Gambino,112543444
Sunroof,Nicky Youre,112468162
Holy,Justin Bieber,112093148
Suicidal,YNW Melly,111505967
Enemies,Post Malone,111333320
Whoopty,CJ,111327394
Wait a Minute!,WILLOW,111162304
Photograph,Ed Sheeran,111120972
Super Freaky Girl,Nicki Minaj,110933739
Praise The Lord (Da Shine),A$AP Rocky,110819424
No Heart,21 Savage,110613158
SLUT ME OUT,NLE Choppa,110357788
BIG BANK,YG,110251626
Therefore I Am,Billie Eilish,109936841
Style,Taylor Swift,109863706
Blank Space,Taylor Swift,109778631
Te Boté - Remix,Nio Garcia,109733059
Bartier Cardi,Cardi B,109650225
Sweet but Psycho,Ava Max,109612814
Cupid - Twin Ver.,FIFTY FIFTY,109495628
Pursuit Of Happiness (Nightmare),Kid Cudi,109480124
Mi Gente,J Balvin,109423268
Fancy Like,Walker Hayes,109183937
Lose You To Love Me,Selena Gomez,109150331
Cover Me Up,Morgan Wallen,109066323
happier,Olivia Rodrigo,109009363
Bebe Dame,Fuerza Regida,108469172
do re mi,blackbear,108380091
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,108229807
Stay With Me,Sam Smith,108129184
There's Nothing Holdin' Me Back,Shawn Mendes,107955518
LADY GAGA,Peso Pluma,107885657
I Love It (& Lil Pump),Kanye West,107854141
oui,Jeremih,107730094
Run Rudolph Run - Single Version,Chuck Berry,107416097
Never Be the Same,Camila Cabello,107372683
you should see me in a crown,Billie Eilish,107243178
If I Can't Have You,Shawn Mendes,107192421
Rake It Up,Yo Gotti,107156568
Ball For Me,Post Malone,107079418
One Right Now,Post Malone,106856619
"jealousy, jealousy",Olivia Rodrigo,106842027
Lucky You,Eminem,106685258
brutal,Olivia Rodrigo,106587197
It's You,Ali Gatie,106473404
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,106254011
It Was A Good Day,Ice Cube,105903314
AMG,Natanael Cano,105776570
Beautiful,Bazzi,105769712
Break from Toronto,PARTYNEXTDOOR,105663899
New Freezer,Rich The Kid,105262051
Slow Hands,Niall Horan,105220848
Back In Blood,Pooh Shiesty,105011176
Sugar,Maroon 5,104864460
We Paid,Lil Baby,104746275
Por las Noches,Peso Pluma,104127830
This Is America,Childish Gambino,103964722
What They Want,Russ,103833455
WHERE SHE GOES,Bad Bunny,103617832
"You're On Your Own, Kid",Taylor Swift,103504034
Mixed Personalities,YNW Melly,102953208
Too Good At Goodbyes,Sam Smith,102793276
OUT WEST,JACKBOYS,102677098
Now Or Never,Halsey,102516119
Tyler Herro,Jack Harlow,102414445
FRIENDS,Marshmello,102354557
Hope,XXXTENTACION,102329254
Bad At Love,Halsey,101922633
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,101882235
Freaky Friday,Lil Dicky,101868561
Wasted,Juice WRLD,101797919
Space Cadet,Metro Boomin,101688152
Love Sosa,Chief Keef,101407365
Do They Know It's Christmas? - 1984 Version,Band Aid,101398688
Never Forget You,Zara Larsson,101316722
MELTDOWN,Travis Scott,101291035
Come and See Me,PARTYNEXTDOOR,101074101
Enemy,Imagine Dragons,100835953
Savage Remix,Megan Thee Stallion,100761690
All My Life,Lil Durk,100653759
Pop Style,Drake,100358319
Back To Back,Drake,100323465
Wolves,Selena Gomez,100276358
Shut Up and Dance,WALK THE MOON,100209488
Cowgirls,Morgan Wallen,100169837
I Don't Fuck With You,Big Sean,99659160
the remedy for a broken heart (why am I so in love),XXXTENTACION,99380590
bad idea right?,Olivia Rodrigo,99334079
El Gordo Trae El Mando,Chino Pacas,99138515
Put Your Records On,Ritt Momney,99070218
TQG,KAROL G,98933933
Under The Influence,Chris Brown,98638471
We Don't Talk Anymore,Charlie Puth,98211121
Party,Bad Bunny,98182268
Maniac,Conan Gray,98117699
Light It Up,Major Lazer,98079211
Thotiana,Blueface,98052157
NEW MAGIC WAND,"Tyler, The Creator",97931487
Bounce Out With That,YBN Nahmir,97885440
Finesse - Remix; feat. Cardi B,Bruno Mars,97451275
Be Like That,Kane Brown,97216562
breathin,Ariana Grande,97210521
Cigarette Daydreams,Cage The Elephant,97198449
Savage Love (Laxed - Sired Beat),Jawsh 685,97044129
PTSD,G Herbo,96878801
Capsize,FRENSHIP,96799483
Don't Stop Believin',Journey,96789191
Seven,Jung Kook,96590794
Hate The Other Side,Juice WRLD,96515557
Often,The Weeknd,95876024
Hot,Young Thug,95787556
Rain On Me,Lady Gaga,95611004
Escapism.,RAYE,95558882
Heaven,Kane Brown,95521001
Stuck In A Dream,Lil Mosey,95475910
I Hate U,SZA,95332521
Jugaste y Sufrí,Eslabon Armado,95201278
Sun to Me,Zach Bryan,95031957
PROVENZA,KAROL G,94812378
TOES,DaBaby,94674586
How Do You Sleep?,Sam Smith,94468000
Bad Things - With Camila Cabello,Machine Gun Kelly,94454737
Fine China,Future,94225744
2 Phones,Kevin Gates,94221975
Chandelier,Sia,94195494
No Idea,Don Toliver,93790452
What’s Next,Drake,93677191
wokeuplikethis*,Playboi Carti,93644916
Después de la Playa,Bad Bunny,93328473
What Ifs,Kane Brown,93232207
Back To You,Selena Gomez,93219297
The Woo,Pop Smoke,93098286
Despacito (Featuring Daddy Yankee),Luis Fonsi,93020729
Energy,Drake,92386459
Narcos,Migos,92278196
Paradise,Bazzi,92269595
Look What You Made Me Do,Taylor Swift,92184549
I Wonder,Kanye West,92035332
One Thing Right,Marshmello,91972872
i,Lil Skies,91934808
i love you,Billie Eilish,91793788
Codeine Dreaming,Kodak Black,91629494
pushin P,Gunna,91543896
Chicago Freestyle,Drake,91252372
DOLLAZ ON MY HEAD,Gunna,91048768
Party Monster,The Weeknd,90931727
Hurricane,Luke Combs,90807884
Maroon,Taylor Swift,90031670
Love On The Brain,Rihanna,89948401
Good For You,Selena Gomez,89918074
Again,Fetty Wap,89804385
Here,Alessia Cara,89798695
Pray For Me,The Weeknd,89699614
Chemical,Post Malone,89612833
I Was Never There,The Weeknd,89473593
HOTEL LOBBY (Unc & Phew),Quavo,89229549
Relationship,Young Thug,89108978
Good As Hell,Lizzo,88713657
My Love Mine All Mine,Mitski,88513127
Heart To Heart,Mac DeMarco,88437570
"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,88382182
Scars To Your Beautiful,Alessia Cara,88330659
Lights Up,Harry Styles,87724368
Gyalchester,Drake,87719286
IDGAF,Dua Lipa,87357163
Lush Life,Zara Larsson,87351222
ALL MINE,Brent Faiyaz,87180844
Watch This - ARIZONATEARS Pluggnb Remix,Lil Uzi Vert,87101699
PRIDE.,Kendrick Lamar,86965483
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,86829715
Boyfriend,Dove Cameron,86719217
Him & I,G-Eazy,86593035
Don't Wanna Know,Maroon 5,86541563
Jackie Chan,Tiësto,86521189
Don't Mind,Kent Jones,86485934
Castle on the Hill,Ed Sheeran,86482770
Supalonely,BENEE,86449441
Religiously,Bailey Zimmerman,86384449
Christmas (Baby Please Come Home),Darlene Love,86368705
greedy,Tate McRae,86101147
IDGAF,Drake,85960416
One Kiss,Calvin Harris,85909144
Know Yourself,Drake,85852793
No Stylist,French Montana,85747254
Where Ya At,Future,85639079
Send My Love (To Your New Lover),Adele,85569483
Until I Found You,Stephen Sanchez,85451930
SUGAR,BROCKHAMPTON,85393131
My Oh My,Camila Cabello,85344666
Famous,Kanye West,85209688
Call On Me - Ryan Riback Extended Remix,Starley,85119903
Santa Baby,Eartha Kitt,85035370
Que Vuelvas,Carin Leon,84713445
HONEST,Baby Keem,84676530
